SRC_CLAIM_ID,SRC_MEMBER_SSN,SRC_NPI,SRC_DX_CODE,SRC_CHARGE_AMT,SRC_SVC_DATE,SRC_CLAIM_TYPE
CLM00000001,123456789,1235678906,J189,5230.75,20240115,INP
CLM00000002,234567890,1487654329,S31010A,320.00,20240118,OUT
CLM00000003,345678901,1356781234,F16251,14800.50,20240122,INP
CLM00000004,456789012,1235678906,E119,210.25,20240201,PRO
CLM00000005,567890123,1487654329,I10,87.40,20240203,OUT
CLM00000006,678901234,1942785610,J449,1290.00,20240210,INP
CLM00000007,789012345,1356781234,N179,640.80,20240215,OUT
CLM00000008,890123456,1942785610,M5450,55.00,20240220,PRO
CLM00000009,901234567,1235678906,K219,1875.30,20240225,INP
CLM00000010,112233445,1487654329,R079,430.10,20240301,OUT







